BHK,TYPE,AREA,C_STATUS,SQ_FT,CITY,PRICE
1,Apartment,Bopal,Under Construction,1215,Ahmedabad,3200
2,Apartment,Shela,Under Construction,1484,Ahmedabad,3400
4,Apartment,Prahlad Nagar,Ready to move,2750,Ahmedabad,5500
2,Apartment,Memnagar,Under Construction,1912,Ahmedabad,6100
3,Apartment,Memnagar,Under Construction,2705,Ahmedabad,6100
2,Apartment,Memnagar,Under Construction,1672,Ahmedabad,6100
3,Apartment,Ambavadi,Ready to move,2754,Ahmedabad,8387
2,Apartment,Bopal,Under Construction,1985,Ahmedabad,3602
1,Apartment,Bopal,Under Construction,1185,Ahmedabad,3881
3,Apartment,Vastrapur,Under Construction,1815,Ahmedabad,5400
2,Apartment,Vastrapur,Under Construction,1885,Ahmedabad,5964
3,Apartment,Vastrapur,Under Construction,2415,Ahmedabad,5964
2,Apartment,Vastrapur,Under Construction,1585,Ahmedabad,5965
3,Apartment,Bopal,Under Construction,1440,Ahmedabad,3350
2,Apartment,Nana Chiloda,Under Construction,2007,Ahmedabad,2640
3,Apartment,Satellite,Ready to move,1725,Ahmedabad,6086
2,Apartment,Near Nirma University On SG Highway,Ready to move,818,Ahmedabad,4278
3,Apartment,Bopal,Ready to move,1470,Ahmedabad,4421
3,Apartment,Prahlad Nagar,Ready to move,2010,Ahmedabad,5721
4,Apartment,Navrangpura,Ready to move,2340,Ahmedabad,5341
3,Apartment,Satellite,Ready to move,1980,Ahmedabad,5202
4,Apartment,Satellite,Ready to move,3915,Ahmedabad,6257
3,Apartment,Bopal,Ready to move,1450,Ahmedabad,3724
2,Apartment,Ghuma,Ready to move,1053,Ahmedabad,2564
2,Apartment,Bopal,Ready to move,1258,Ahmedabad,3577
3,Apartment,Bodakdev,Ready to move,1845,Ahmedabad,5257
4,Apartment,Bodakdev,Ready to move,2520,Ahmedabad,5753
2,Apartment,Bopal,Ready to move,1039,Ahmedabad,3368
2,Apartment,Bodakdev,Ready to move,1200,Ahmedabad,5000
2,Apartment,Bopal,Ready to move,1285,Ahmedabad,3501
3,Apartment,Bopal,Ready to move,1880,Ahmedabad,3723
